0,None,None.stl,0.001
1,Water Pitcher,PitcherAssm.STL,0.001
2,Spray Bottle,SprayBottle.STL,0.001
3,Pringles Can,PringlesCan.STL,0.001
4,Margarita Glass,WineGlass.STL,0.001
5,Cereal Box,CerealBox.STL,0.001
6,Cracker Box,CrackerBox.STL,0.001
7,Tall Can,part not available,0.001
8,Toy Hammer,part not available,0.001
9,Remote,Remote.STL,0.001
10,Toy Plane,part not available,0.001
11,Food Clip,FoodClip.STL,0.001
12,Cooking Pan,part not available,0.001
13,Soap Dispenser,SoapDispenser.STL,0.001
14,Plastic Banana,part not available,0.001
15,Chunk of Foam,Chunk_of_foam.STL,0.001
16,Buffalo Doll,part not available,0.001
17,Ball,Ball.STL,0.0009
18,Thunder Stick,ThunderStick.STL,0.001
19,Snowman,SnowMan.STL,0.001
20,koozie,part not available,0.001
21,Rope,part not available,0.001
22,Tape Roll,TapeRoll.STL,0.001
